epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1324.85,1.6673,2.26681,1.88256,0.46628,0.333,0.3277,0.18383,1.61343,2.32562,2.07638,0.00103162,0.00103162,0.00103162
79,1341.17,1.66534,2.36112,1.91414,0.40862,0.35512,0.34385,0.20067,1.64991,2.3004,2.09261,0.00102337,0.00102337,0.00102337
80,1357.03,1.68187,2.29331,1.885,0.52895,0.33395,0.33966,0.19385,1.72986,2.4063,2.11462,0.00101512,0.00101512,0.00101512
81,1374.12,1.62295,2.27767,1.87909,0.45776,0.41332,0.39882,0.22069,1.70046,2.16333,2.10612,0.00100687,0.00100687,0.00100687
82,1389.99,1.67261,2.32536,1.92485,0.5568,0.38707,0.36995,0.21368,1.77354,2.36049,2.13512,0.000998616,0.000998616,0.000998616
83,1406.86,1.64161,2.27146,1.86673,0.53176,0.36341,0.37916,0.23008,1.68307,2.22042,2.08362,0.000990365,0.000990365,0.000990365
84,1423.49,1.61953,2.16814,1.86583,0.56979,0.37816,0.37113,0.22687,1.67804,2.2393,2.09088,0.000982113,0.000982113,0.000982113
85,1439.03,1.5872,2.22944,1.84637,0.47993,0.4001,0.37646,0.23504,1.56614,2.22381,1.97135,0.000973861,0.000973861,0.000973861
86,1455.56,1.62424,2.17927,1.86675,0.43135,0.39561,0.39336,0.21864,1.673,2.19987,2.02377,0.00096561,0.00096561,0.00096561
87,1473.76,1.59499,2.15799,1.82018,0.4697,0.39122,0.36844,0.23058,1.69712,2.3397,2.10764,0.000957358,0.000957358,0.000957358
88,1489.99,1.56562,2.18874,1.84471,0.4987,0.37362,0.4152,0.24657,1.62333,2.2636,2.07933,0.000949106,0.000949106,0.000949106
89,1506.25,1.62191,2.11678,1.86221,0.46476,0.40951,0.39603,0.2439,1.66354,2.26369,2.04102,0.000940855,0.000940855,0.000940855
90,1522.32,1.59428,2.14523,1.82783,0.49355,0.37561,0.3795,0.22913,1.67019,2.29506,2.05806,0.000932603,0.000932603,0.000932603
91,1538.87,1.57039,2.0873,1.78962,0.53664,0.37883,0.39456,0.22906,1.67185,2.15798,2.10668,0.000924352,0.000924352,0.000924352
92,1555.71,1.60358,2.22894,1.85164,0.5434,0.35341,0.39103,0.2338,1.65171,2.29292,2.0616,0.0009161,0.0009161,0.0009161
93,1572.78,1.6206,2.18076,1.83902,0.50524,0.34951,0.41017,0.2399,1.57942,2.26855,1.9617,0.000907848,0.000907848,0.000907848
94,1589.04,1.54087,2.09795,1.81469,0.47302,0.43561,0.41443,0.2498,1.60154,2.14987,2.04467,0.000899597,0.000899597,0.000899597
95,1605.67,1.57312,2.15576,1.80977,0.53459,0.33951,0.4092,0.24512,1.68542,2.17783,2.11909,0.000891345,0.000891345,0.000891345
96,1622.89,1.54107,2.08481,1.78864,0.61883,0.34951,0.40664,0.2395,1.60508,2.17837,2.06357,0.000883093,0.000883093,0.000883093
97,1639.83,1.55281,2.09832,1.76333,0.45873,0.40965,0.42301,0.24757,1.66429,2.16255,2.06343,0.000874842,0.000874842,0.000874842
98,1656.18,1.52487,2.10773,1.77897,0.45859,0.39142,0.39051,0.23982,1.61269,2.16125,2.04463,0.00086659,0.00086659,0.00086659
99,1672.27,1.50541,2.10356,1.77699,0.35159,0.4178,0.35247,0.19743,1.73248,2.33257,2.12785,0.000858338,0.000858338,0.000858338
100,1688.84,1.54993,2.11763,1.78894,0.57722,0.37902,0.39365,0.23295,1.70687,2.27382,2.11505,0.000850087,0.000850087,0.000850087
101,1705.47,1.51382,2.08921,1.76393,0.50759,0.43341,0.42029,0.25191,1.60748,2.25202,2.01172,0.000841835,0.000841835,0.000841835
102,1722.51,1.47935,2.03952,1.73813,0.43954,0.45,0.41949,0.25374,1.56385,2.09272,2.00333,0.000833583,0.000833583,0.000833583
103,1739.17,1.49768,2.04176,1.7504,0.50839,0.32983,0.39407,0.22771,1.7087,2.285,2.14729,0.000825332,0.000825332,0.000825332
104,1755.15,1.52528,2.08097,1.77276,0.39252,0.38537,0.364,0.2286,1.59343,2.24204,2.00513,0.00081708,0.00081708,0.00081708
105,1770.77,1.5051,1.98231,1.727,0.43623,0.43561,0.41628,0.25572,1.57853,2.15314,2.01121,0.000808828,0.000808828,0.000808828
106,1787.55,1.54177,2.02983,1.75195,0.49968,0.38719,0.41392,0.2381,1.67975,2.27644,2.09214,0.000800577,0.000800577,0.000800577
107,1804.46,1.45524,2.04675,1.71597,0.48253,0.36694,0.41453,0.25719,1.59465,2.18329,1.9874,0.000792325,0.000792325,0.000792325
108,1821.04,1.48578,2.02154,1.71068,0.48967,0.45035,0.42253,0.26795,1.60942,2.09158,2.04562,0.000784073,0.000784073,0.000784073
109,1837.37,1.44409,1.92584,1.72526,0.44689,0.4614,0.40973,0.24711,1.58141,2.18221,1.98568,0.000775822,0.000775822,0.000775822
110,1853.66,1.46175,1.93642,1.72434,0.44994,0.46376,0.42109,0.2468,1.61029,2.10773,1.96133,0.00076757,0.00076757,0.00076757
111,1870.17,1.45976,1.9995,1.74082,0.4707,0.4661,0.4236,0.25308,1.61455,2.19412,2.05668,0.000759318,0.000759318,0.000759318
112,1886.38,1.4712,1.93297,1.71183,0.57249,0.41732,0.43266,0.22421,1.64306,2.10548,2.06007,0.000751067,0.000751067,0.000751067
113,1903.52,1.50636,1.98557,1.73282,0.4629,0.37732,0.38894,0.22811,1.61903,2.18015,2.02194,0.000742815,0.000742815,0.000742815
114,1920.36,1.42649,1.88342,1.6774,0.57,0.45122,0.41183,0.25511,1.51672,2.17474,1.93021,0.000734564,0.000734564,0.000734564
115,1936.77,1.4197,2.01416,1.69322,0.5291,0.34562,0.39412,0.25185,1.61088,2.23127,2.01558,0.000726312,0.000726312,0.000726312
116,1952.96,1.48354,1.97177,1.70214,0.44801,0.43105,0.42727,0.2633,1.58354,2.07714,1.97597,0.00071806,0.00071806,0.00071806
117,1969.96,1.4389,1.92074,1.69017,0.38378,0.4339,0.35642,0.21573,1.65502,2.42819,2.14407,0.000709809,0.000709809,0.000709809
118,1986.57,1.41357,1.88274,1.66468,0.5696,0.42341,0.43923,0.27216,1.57137,2.11036,1.98031,0.000701557,0.000701557,0.000701557
